concurso;strategy;ordering;distribution_id;hits;hit_14;hit_13;hit_12;p13_plus_empirical;p12_plus_empirical;double_games;ticket
860;ratio;ratio;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.15384615;1,4,7,12,14;1X|1|2|12|1|1|12|1|1|1|1|1X|1|12
860;hist_top1;hist_top1;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.07692308;2,3,4,6,7;1|1X|X2|12|1|1X|12|1|1|1|1|1|1|2
860;hist_top2;hist_top2;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.07692308;2,4,6,7,10;1|1X|2|12|1|1X|12|1|1|1X|1|1|1|2
860;exact;exact;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.15384615;1,4,7,12,14;1X|1|2|12|1|1|12|1|1|1|1|1X|1|12
861;gain;gain;T1=14|T2=5|T3=0;6;0;0;0;0.07142857;0.14285714;2,7,8,11,13;1|1X|1|1|1|1|12|12|2|1|12|1|12|1
861;top2_probability;top2_probability;T1=14|T2=5|T3=0;6;0;0;0;0.07142857;0.14285714;2,7,8,11,13;1|1X|1|1|1|1|12|12|2|1|12|1|12|1
861;uncertainty;uncertainty;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.14285714;2,8,11,13,14;1|1X|1|1|1|1|1|12|2|1|12|1|12|12
861;margin;margin;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.14285714;2,7,8,11,13;1|1X|1|1|1|1|12|12|2|1|12|1|12|1
861;ratio;ratio;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.14285714;2,7,8,11,13;1|1X|1|1|1|1|12|12|2|1|12|1|12|1
861;hist_top1;hist_top1;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.07142857;1,2,3,6,7;1X|1X|1X|1|1|1X|12|1|2|1|2|1|1|1
861;hist_top2;hist_top2;T1=14|T2=5|T3=0;5;0;0;0;0.00000000;0.07142857;2,4,6,7,10;1|1X|1|1X|1|1X|12|1|2|1X|2|1|1|1
861;exact;exact;T1=14|T2=5|T3=0;6;0;0;0;0.00000000;0.14285714;2,7,8,11,13;1|1X|1|1|1|1|12|12|2|1|12|1|12|1
862;gain;gain;T1=14|T2=5|T3=0;10;0;0;0;0.06666667;0.13333333;2,6,8,9,10;1|12|1|1|1|12|1|1X|X2|1X|1|1|1|1
862;top2_probability;top2_probability;T1=14|T2=5|T3=0;10;0;0;0;0.06666667;0.13333333;2,6,8,9,10;1|12|1|1|1|12|1|1X|X2|1X|1|1|1|1
862;uncertainty;uncertainty;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.13333333;2,3,6,9,10;1|12|1X|1|1|12|1|1|X2|1X|1|1|1|1
862;margin;margin;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.13333333;2,3,6,9,10;1|12|1X|1|1|12|1|1|X2|1X|1|1|1|1
862;ratio;ratio;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.13333333;2,3,6,9,10;1|12|1X|1|1|12|1|1|X2|1X|1|1|1|1
862;hist_top1;hist_top1;T1=14|T2=5|T3=0;7;0;0;0;0.00000000;0.06666667;2,3,4,6,7;1|12|1X|1X|1|12|1X|1|2|1|1|1|1|1
862;hist_top2;hist_top2;T1=14|T2=5|T3=0;8;0;0;0;0.00000000;0.06666667;2,4,6,7,10;1|12|1|1X|1|12|1X|1|2|1X|1|1|1|1
862;exact;exact;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.13333333;2,3,6,9,10;1|12|1X|1|1|12|1|1|X2|1X|1|1|1|1
863;gain;gain;T1=14|T2=5|T3=0;9;0;0;0;0.06250000;0.12500000;1,3,10,11,13;12|1|12|1|1|1|1|1|1|1X|X2|1|1X|1
863;top2_probability;top2_probability;T1=14|T2=5|T3=0;9;0;0;0;0.06250000;0.12500000;1,3,10,11,13;12|1|12|1|1|1|1|1|1|1X|X2|1|1X|1
863;uncertainty;uncertainty;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.12500000;1,3,8,11,13;12|1|12|1|1|1|1|1X|1|1|X2|1|1X|1
863;margin;margin;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.12500000;1,3,8,11,13;12|1|12|1|1|1|1|1X|1|1|X2|1|1X|1
863;ratio;ratio;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.12500000;1,3,8,11,13;12|1|12|1|1|1|1|1X|1|1|X2|1|1X|1
863;hist_top1;hist_top1;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.06250000;2,3,4,6,7;1|1X|12|1X|1|1X|1X|1|1|1|2|1|1|1
863;hist_top2;hist_top2;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.06250000;2,4,6,7,10;1|1X|2|1X|1|1X|1X|1|1|1X|2|1|1|1
863;exact;exact;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.12500000;1,3,8,11,13;12|1|12|1|1|1|1|1X|1|1|X2|1|1X|1
864;gain;gain;T1=14|T2=5|T3=0;9;0;0;0;0.05882353;0.11764706;2,3,5,9,12;2|12|12|1|1X|1|1|1|1X|1|1|12|1|1
864;top2_probability;top2_probability;T1=14|T2=5|T3=0;9;0;0;0;0.05882353;0.11764706;2,3,5,9,12;2|12|12|1|1X|1|1|1|1X|1|1|12|1|1
864;uncertainty;uncertainty;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.11764706;2,3,5,12,13;2|12|12|1|1X|1|1|1|1|1|1|12|12|1
864;margin;margin;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.11764706;2,3,5,12,13;2|12|12|1|1X|1|1|1|1|1|1|12|12|1
864;ratio;ratio;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.11764706;2,3,5,12,13;2|12|12|1|1X|1|1|1|1|1|1|12|12|1
864;hist_top1;hist_top1;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.05882353;2,3,4,6,7;2|12|12|1X|1|1X|1X|1|1|1|1|1|1|1
864;hist_top2;hist_top2;T1=14|T2=5|T3=0;9;0;0;0;0.00000000;0.05882353;2,4,6,7,10;2|12|1|1X|1|1X|1X|1|1|1X|1|1|1|1
864;exact;exact;T1=14|T2=5|T3=0;10;0;0;0;0.00000000;0.11764706;2,3,5,12,13;2|12|12|1|1X|1|1|1|1|1|1|12|12|1
865;gain;gain;T1=14|T2=5|T3=0;6;0;0;0;0.05555556;0.11111111;1,7,8,9,12;1X|2|1|2|2|2|1X|12|1X|1|2|12|1|1
865;top2_probability;top2_probability;T1=14|T2=5|T3=0;6;0;0;0;0.05555556;0.11111111;1,7,8,9,12;1X|2|1|2|2|2|1X|12|1X|1|2|12|1|1
865;uncertainty;uncertainty;T1=14|T2=5|T3=0;5;0;0;0;0.00000000;0.11111111;1,2,8,9,12;1X|X2|1|2|2|2|1|12|1X|1|2|12|1|1
